mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__learning_rate,param_classifier__max_depth,param_classifier__n_estimators,param_classifier__subsample,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,mean_train_score,std_train_score
159.0572054386139,0.17481160163879395,3.671445846557617,0.04941987991333008,0.03,3,250,0.8,"{'classifier__learning_rate': 0.03, 'classifier__max_depth': 3, 'classifier__n_estimators': 250, 'classifier__subsample': 0.8}",0.561178731582319,0.5623342175066313,0.5617564745444752,0.0005777429621561248,7,0.7548500881834215,0.7409602845287493,0.7479051863560854,0.006944901827336092
187.90796828269958,0.0351712703704834,3.5971148014068604,0.0262451171875,0.03,3,250,1.0,"{'classifier__learning_rate': 0.03, 'classifier__max_depth': 3, 'classifier__n_estimators': 250, 'classifier__subsample': 1.0}",0.5667752442996743,0.5545335085413929,0.5606543764205336,0.006120867879140679,8,0.7473309608540926,0.7334525939177102,0.7403917773859015,0.006939183468191168
268.52008640766144,0.3698917627334595,5.997386574745178,0.18648278713226318,0.03,5,250,0.8,"{'classifier__learning_rate': 0.03, 'classifier__max_depth': 5, 'classifier__n_estimators': 250, 'classifier__subsample': 0.8}",0.6076260762607626,0.6117353308364545,0.6096807035486085,0.002054627287845945,4,0.8602981778023192,0.851627137341423,0.8559626575718711,0.004335520230448087
345.5603770017624,0.12473833560943604,4.158617615699768,0.02644193172454834,0.03,5,250,1.0,"{'classifier__learning_rate': 0.03, 'classifier__max_depth': 5, 'classifier__n_estimators': 250, 'classifier__subsample': 1.0}",0.6169278996865204,0.6225247524752475,0.619726326080884,0.0027984263943635623,3,0.8665568369028006,0.8596491228070176,0.863102979854909,0.0034538570478915287
163.41382610797882,0.3297179937362671,4.23271918296814,0.003312826156616211,0.05,3,250,0.8,"{'classifier__learning_rate': 0.05, 'classifier__max_depth': 3, 'classifier__n_estimators': 250, 'classifier__subsample': 0.8}",0.5892634207240949,0.5794511805998723,0.5843573006619835,0.004906120062111274,6,0.8013698630136986,0.7878440366972477,0.7946069498554731,0.00676291315822547
197.4760410785675,0.11683058738708496,4.661784648895264,0.004720926284790039,0.05,3,250,1.0,"{'classifier__learning_rate': 0.05, 'classifier__max_depth': 3, 'classifier__n_estimators': 250, 'classifier__subsample': 1.0}",0.5902469917669411,0.5892063492063492,0.5897266704866451,0.0005203212802959434,5,0.7887161773172136,0.7892325315005727,0.7889743544088932,0.0002581770916795789
285.17188584804535,0.7222291231155396,5.101529240608215,0.01508176326751709,0.05,5,250,0.8,"{'classifier__learning_rate': 0.05, 'classifier__max_depth': 5, 'classifier__n_estimators': 250, 'classifier__subsample': 0.8}",0.6148325358851675,0.6257594167679222,0.6202959763265449,0.005463440441377365,2,0.9106292966684294,0.8936170212765957,0.9021231589725125,0.008506137695916849
342.6888221502304,0.19071853160858154,4.861173868179321,0.0011234283447265625,0.05,5,250,1.0,"{'classifier__learning_rate': 0.05, 'classifier__max_depth': 5, 'classifier__n_estimators': 250, 'classifier__subsample': 1.0}",0.6195121951219512,0.6301703163017032,0.6248412557118272,0.005329060589875978,1,0.9059011164274322,0.8996282527881041,0.9027646846077682,0.003136431819664054
